drug_id,drug_name,standardized_ingredient,drug_class
387,metamfetamine,methamphetamine,Centrally acting sympathomimetics
388,ibrexafungerp,ibrexafungerp,Other antimycotics for systemic use
389,insulin human,"insulin, regular, human","Insulins and analogues for injection, fast-acting"
390,bromocriptine,bromocriptine,Prolactine inhibitors
391,gabapentin,gabapentin,Gabapentinoids
392,lefamulin,lefamulin,Other antibacterials
393,fenfluramine,fenfluramine,Centrally acting antiobesity products
394,clorazepic acid,clorazepic acid,Clorazepate Dipotassium
395,chlordiazepoxide,chlordiazepoxide,Benzodiazepine derivatives
396,telaprevir,telaprevir,Antivirals for treatment of HCV infections
397,ibrutinib,ibrutinib,Bruton's tyrosine kinase (BTK) inhibitors
398,fesoterodine,fesoterodine,Drugs for urinary frequency and incontinence
399,hydroxychloroquine,hydroxychloroquine,Aminoquinolines
400,cetirizine,cetirizine,Piperazine derivatives
401,zolmitriptan,zolmitriptan,Selective serotonin (5HT1) agonists
402,metronidazole topical,metronidazole,Antiinfectives and antiseptics for local oral treatment
403,paclitaxel proteinbound,paclitaxel proteinbound,Taxanes
404,naldemedine,naldemedine,Peripheral opioid receptor antagonists
405,levocetirizine,levocetirizine,Piperazine derivatives
406,chloroquine,chloroquine,Biguanides
407,tapentadol,tapentadol,Other opioids
408,ganaxolone,ganaxolone,Other antiepileptics
409,indinavir,indinavir,Protease inhibitors
410,tepotinib,tepotinib,Cellular-mesenchymal-epithelial transition factor (c-MET) kinase inhibitors
411,asenapine,asenapine,"Diazepines, oxazepines, thiazepines and oxepines"
412,oxycodone,oxycodone,Natural opium alkaloids
413,flurazepam,flurazepam,Benzodiazepine derivatives
414,oteseconazole,oteseconazole,Triazole and tetrazole derivatives
415,dihydroergotamine,dihydroergotamine,Ergot alkaloids
416,escitalopram,escitalopram,Selective serotonin reuptake inhibitors
417,risperidone,risperidone,Other antipsychotics
418,selumetinib,selumetinib,Mitogen-activated protein kinase (MEK) inhibitors
419,paliperidone,paliperidone,Other antipsychotics
420,midazolam,midazolam,Benzodiazepine derivatives
421,trazodone,trazodone,Other antidepressants
422,avapritinib,avapritinib,Other protein kinase inhibitors
423,progesterone,progesterone,Pregnen (4) derivatives
424,nilotinib,nilotinib,BCR-ABL tyrosine kinase inhibitors
425,vasopressin,vasopressin (USP),Vasopressins
426,orphenadrine,orphenadrine,Ethers chemically close to antihistamines
427,larotrectinib,larotrectinib,Other protein kinase inhibitors
428,valganciclovir,valganciclovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
429,calcium citrate,calcium citrate,Calcium
430,sitagliptin,sitagliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
431,rotigotine,rotigotine,Dopamine agonists
432,varenicline,varenicline,Drugs used in nicotine dependence
433,elvitegravir,elvitegravir,Integrase inhibitors
434,nitisinone,nitisinone,Various alimentary tract and metabolism products
435,atovaquone,atovaquone,Biguanides
436,ergotamine,ergotamine,Ergot alkaloids
437,venlafaxine,venlafaxine,Other antidepressants
438,lofexidine,lofexidine,Drugs used in opioid dependence
439,metaxalone,metaxalone,Oxazolidinones
440,insulin glulisine,"insulin glulisine, human","Insulins and analogues for injection, fast-acting"
441,cobimetinib,cobimetinib,Mitogen-activated protein kinase (MEK) inhibitors
442,nefazodone,nefazodone,Other antidepressants
443,fedratinib,fedratinib,Janus-associated kinase (JAK) inhibitors
444,fexofenadine,fexofenadine,Other antihistamines for systemic use
445,insulin degludec,insulin degludec,"Insulins and analogues for injection, long-acting"
446,ripretinib,ripretinib,Other protein kinase inhibitors
447,terfenadine,terfenadine,Other antihistamines for systemic use
448,chlorpheniramine,chlorpheniramine,Substituted alkylamines
449,acalabrutinib,acalabrutinib,Bruton's tyrosine kinase (BTK) inhibitors
450,ketamine,ketamine,Other general anesthetics
451,thalidomide,thalidomide,Other immunosuppressants
452,albendazole,albendazole,Benzimidazole derivatives
453,avacopan,avacopan,Complement inhibitors
454,tolvaptan,tolvaptan,Vasopressin antagonists
455,daprodustat,daprodustat,Other antianemic preparations
456,deflazacort,deflazacort,Glucocorticoids
457,entrectinib,entrectinib,Other protein kinase inhibitors
458,lorazepam,lorazepam,Benzodiazepine derivatives
459,methylnaltrexone,methylnaltrexone,Peripheral opioid receptor antagonists
460,insulin detemir,insulin detemir,"Insulins and analogues for injection, long-acting"
461,sunitinib,sunitinib,Other protein kinase inhibitors
462,cisapride,cisapride,Propulsives
463,ranolazine,ranolazine,Other cardiac preparations
464,nabilone,nabilone,Other antiemetics
465,naloxegol,naloxegol,Peripheral opioid receptor antagonists
466,cinacalcet,cinacalcet,Other anti-parathyroid agents
467,levoketoconazole,levoketoconazole,Anticorticosteroids
468,alectinib,alectinib,Anaplastic lymphoma kinase (ALK) inhibitors
469,thiothixene,thiothixene,Thioxanthene derivatives
470,hydroxyprogesterone caproate,hydroxyprogesterone caproate (USP),Pregnen (4) derivatives
471,posaconazole,posaconazole,Triazole and tetrazole derivatives
