drug_id,drug_name,standardized_ingredient,drug_class
153,premarin,"estrogens, conjugated",Estrogen
154,terbinafine hydrochloride,terbinafine hydrochloride,Allylamine Antifungal
155,sunitinib malate,sunitinib malate,Kinase Inhibitor
156,methimazole,methimazole,Thyroid Hormone Synthesis Inhibitor
157,brinsupri,brensocatib,UNKNOWN_CLASS
158,atorvastatin calcium,atorvastatin calcium propylene glycol solvate,HMG-CoA Reductase Inhibitor
159,oseltamivir phosphate,oseltamivir phosphate,Neuraminidase Inhibitor
160,citalopram,citalopram hydrobromide,Serotonin Reuptake Inhibitor
161,oxymorphone hydrochloride,oxymorphone hydrochloride,Opioid Agonist
162,suprep bowel prep,"magnesium sulfate, unspecified form",Calculi Dissolution Agent
163,nintedanib,nintedanib esylate,Kinase Inhibitor
164,ketorolac tromethamine,ketorolac tromethamine,Cyclooxygenase Inhibitor
165,"carbidopa, levodopa and entacapone",carbidopa,Aromatic Amino Acid
166,imatinib mesylate,imatinib mesylate,Kinase Inhibitor
167,bufo rana,bufo bufo cutaneous gland,UNKNOWN_CLASS
168,moxifloxacin hydrochloride,moxifloxacin hydrochloride,Fluoroquinolone Antibacterial
169,md gastroview,diatrizoate meglumine,Radiographic Contrast Agent
170,ninlaro,ixazomib citrate,Proteasome Inhibitor
171,midazolam hydrochloride,midazolam hydrochloride,Benzodiazepine
172,codeine sulfate,codeine sulfate,Opioid Agonist
173,levorphanol tartrate,levorphanol tartrate,Opioid Agonist
174,loxapine,loxapine succinate,UNKNOWN_CLASS
175,escitalopram,escitalopram oxalate,Serotonin Reuptake Inhibitor
176,tamoxifen citrate,tamoxifen citrate,Estrogen Agonist/Antagonist
177,votrient,pazopanib hydrochloride,Kinase Inhibitor
178,paroxetine,paroxetine hydrochloride hemihydrate,Serotonin Reuptake Inhibitor
179,varenicline,varenicline tartrate,Cholinergic Receptor Agonist
180,solifenacin succinate,solifenacin succinate,Cholinergic Muscarinic Antagonist
181,theophylline,theophylline anhydrous,Methylxanthine
182,iclusig,ponatinib hydrochloride,Kinase Inhibitor
183,chlorpromazine hydrochloride,chlorpromazine hydrochloride,Phenothiazine
184,frovatriptan succinate,frovatriptan succinate,Serotonin-1b and Serotonin-1d Receptor Agonist
185,glycopyrrolate oral solution,glycopyrrolate,Anticholinergic
186,foundayo,orforglipron calcium,UNKNOWN_CLASS
187,focalin xr,dexmethylphenidate hydrochloride,Central Nervous System Stimulant
188,hydroxychloroquine sulfate,hydroxychloroquine sulfate,Antimalarial
189,prochlorperazine maleate,prochlorperazine maleate,Phenothiazine
190,sutab,magnesium sulfate anhydrous,Calculi Dissolution Agent
191,streptococcinum,streptococcus pyogenes,UNKNOWN_CLASS
192,imipramine hydrochloride,imipramine hydrochloride,Tricyclic Antidepressant
193,benazepril hydrochloride,benazepril hydrochloride,Angiotensin Converting Enzyme Inhibitor
194,paroxetine,paroxetine hydrochloride,Serotonin Reuptake Inhibitor
195,granisetron hydrochloride,granisetron hydrochloride,Serotonin-3 Receptor Antagonist
196,"moxifloxacin hydrochloride tablets, 400 mg",moxifloxacin hydrochloride monohydrate,Fluoroquinolone Antibacterial
197,cyclobenzaprine hydrochloride,cyclobenzaprine hydrochloride,Muscle Relaxant
198,pyridostigmine bromide,pyridostigmine bromide,Cholinesterase Inhibitor
199,fosfomycin tromethamine,fosfomycin tromethamine,UNKNOWN_CLASS
200,exxua,gepirone hydrochloride,UNKNOWN_CLASS
201,metoclopramide,metoclopramide hydrochloride,Dopamine-2 Receptor Antagonist
202,ergocalciferol,ergocalciferol,Provitamin D2 Compound
203,nebivolol,nebivolol hydrochloride,beta-Adrenergic Blocker
204,esomeprazole magnesium,esomeprazole magnesium trihydrate,Proton Pump Inhibitor
205,cefuroxime axetil,cefuroxime axetil,Cephalosporin Antibacterial
206,karbinal er,carbinoxamine maleate,Histamine-1 Receptor Antagonist
207,colestid,colestipol hydrochloride,Bile Acid Sequestrant
208,savella,milnacipran hydrochloride,Serotonin and Norepinephrine Reuptake Inhibitor
209,radiogardase,ferric ferrocyanide,Decorporation Agent
210,hydrocodone bitartrate and homatropine methylbromide,homatropine methylbromide,Opioid Agonist
211,lescol xl,fluvastatin sodium,HMG-CoA Reductase Inhibitor
212,acamprosate calcium,acamprosate calcium,UNKNOWN_CLASS
213,cholestyramine,cholestyramine,Bile Acid Sequestrant
214,methotrexate,methotrexate sodium,Folate Analog Metabolic Inhibitor
215,morbillinum,measles virus,UNKNOWN_CLASS
216,tolterodine tartrate,tolterodine tartrate,Cholinergic Muscarinic Antagonist
217,paroxetine,paroxetine hydrochloride anhydrous,Serotonin Reuptake Inhibitor
218,amphetamine sulfate,amphetamine sulfate,Central Nervous System Stimulant
219,amygdalus persica,prunus persica flower,UNKNOWN_CLASS
220,meperidine hydrochloride,meperidine hydrochloride,Opioid Agonist
221,gleostine,lomustine,Alkylating Drug
222,nuedexta,dextromethorphan hydrobromide,Antiarrhythmic
223,naltrexone hydrochloride,naltrexone hydrochloride,Opioid Antagonist
224,albuterol,albuterol sulfate,beta2-Adrenergic Agonist
225,phenoxybenzamine hydrochloride,phenoxybenzamine hydrochloride,alpha-Adrenergic Blocker
226,fosinopril sodium,fosinopril sodium,Angiotensin Converting Enzyme Inhibitor
227,miplyffa,arimoclomol citrate,Organic Cation Transporter 2 Inhibitors
228,penicillin v potassium,penicillin v potassium,Penicillin-class Antibacterial
229,rasagiline,rasagiline mesylate,Monoamine Oxidase Inhibitor
230,benzphetamine hydrochloride,benzphetamine hydrochloride,Sympathomimetic Amine Anorectic
231,ancobon,flucytosine,Nucleoside Analog Antifungal
232,cevimeline,cevimeline hydrochloride,Cholinergic Receptor Agonist
233,armour thyroid,sus scrofa thyroid,UNKNOWN_CLASS
234,methenamine hippurate,methenamine hippurate,UNKNOWN_CLASS
235,cromolyn sodium oral solution (concentrate),cromolyn sodium,Mast Cell Stabilizer
236,cyproheptadine hydrochloride,cyproheptadine hydrochloride,UNKNOWN_CLASS
237,chloroquine phosphate,chloroquine phosphate,Antimalarial
238,dicloxacillin sodium,dicloxacillin sodium,Penicillin-class Antibacterial
239,phenelzine sulfate,phenelzine sulfate,Monoamine Oxidase Inhibitor
240,clomipramine hydrochloride,clomipramine hydrochloride,Tricyclic Antidepressant
241,sodium polystyrene sulfonate,sodium polystyrene sulfonate,UNKNOWN_CLASS
242,zejula,niraparib tosylate,Poly(ADP-Ribose) Polymerase Inhibitor
243,verapamil hydrochloride,verapamil hydrochloride,Calcium Channel Blocker
244,pentazocine and naloxone,naloxone hydrochloride,Opioid Antagonist
245,naratriptan,naratriptan hydrochloride,Serotonin-1b and Serotonin-1d Receptor Agonist
246,acetylcysteine,acetylcysteine,Antidote
247,reyataz,atazanavir sulfate,Protease Inhibitor
248,trimipramine,trimipramine maleate,Tricyclic Antidepressant
249,disopyramide phosphate,disopyramide phosphate,Antiarrhythmic
250,clemastine fumarate,clemastine fumarate,UNKNOWN_CLASS
251,prasugrel,prasugrel hydrochloride,P2Y12 Platelet Inhibitor
252,sevelamer hydrochloride,sevelamer hydrochloride,Phosphate Binder
253,leucovorin calcium,leucovorin calcium,Folate Analog
254,prucalopride,prucalopride succinate,Serotonin-4 Receptor Agonist
255,trimethobenzamide hydrochloride,trimethobenzamide hydrochloride,Antiemetic
256,erythromycin ethylsuccinate,erythromycin ethylsuccinate,Macrolide Antimicrobial
257,olpruva,sodium phenylbutyrate,UNKNOWN_CLASS
258,scemblix,asciminib hydrochloride,UNKNOWN_CLASS
259,ekterly,sebetralstat,Plasma Kallikrein Inhibitor
260,nurtec odt,rimegepant sulfate,Calcitonin Gene-related Peptide Receptor Antagonist
261,tetracycline hydrochloride,tetracycline hydrochloride,Tetracycline-class Antimicrobial
262,fosamprenavir calcium,fosamprenavir calcium,Protease Inhibitor
263,trospium chloride,trospium chloride,Cholinergic Muscarinic Antagonist
264,quinapril,quinapril hydrochloride,Angiotensin Converting Enzyme Inhibitor
265,hydroxyzine hydrochloride,hydroxyzine hydrochloride,Antihistamine
266,amantadine hydrochloride,amantadine hydrochloride,Influenza A M2 Protein Inhibitor
267,fludrocortisone acetate,fludrocortisone acetate,UNKNOWN_CLASS
268,vancomycin hydrochloride,vancomycin hydrochloride,Glycopeptide Antibacterial
269,quinidine gluconate,quinidine gluconate,Antiarrhythmic
270,saxagliptin,saxagliptin hydrochloride,Dipeptidyl Peptidase 4 Inhibitor
271,spiriva handihaler,tiotropium bromide monohydrate,Anticholinergic
272,ensacove,ensartinib hydrochloride,UNKNOWN_CLASS
273,crataegus,hawthorn leaf with flower,UNKNOWN_CLASS
274,esterified estrogens and methyltestosterone,"estrogens, esterified",Androgen
275,balsalazide disodium,balsalazide disodium,Aminosalicylate
276,cefdinir,cefdinir monohydrate,Cephalosporin Antibacterial
277,zenzedi,dextroamphetamine sulfate,Central Nervous System Stimulant
278,entecavir,entecavir anhydrous,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor
279,betaxolol,betaxolol hydrochloride,beta-Adrenergic Blocker
280,desipramine hydrochloride,desipramine hydrochloride,Tricyclic Antidepressant
281,risedronate sodium,risedronate sodium hemipentahydrate,Bisphosphonate
282,galantamine,galantamine hydrobromide,Cholinesterase Inhibitor
283,cinacalcet,cinacalcet hydrochloride,Calcium-sensing Receptor Agonist
284,ibandronate sodium,ibandronate sodium,Bisphosphonate
285,raloxifene hydrochloride,raloxifene hydrochloride,Estrogen Agonist/Antagonist
286,methenamine mandelate,methenamine mandelate,UNKNOWN_CLASS
287,colchicine,colchiceine,UNKNOWN_CLASS
288,ibtrozi,taletrectinib adipate,Kinase Inhibitor
289,isentress,raltegravir potassium,Human Immunodeficiency Virus Integrase Strand Transfer Inhibitor
290,trimethoprim,trimethoprim,Dihydrofolate Reductase Inhibitor Antibacterial
291,alogliptin and pioglitazone,alogliptin benzoate,Dipeptidyl Peptidase 4 Inhibitor
292,hydrocodone polistirex and chlorpheniramine polistirex extended-release,chlorpheniramine maleate,Histamine-1 Receptor Antagonist
293,steglatro,ertugliflozin pidolate,UNKNOWN_CLASS
294,necon,norethindrone and ethinyl estradiol,UNKNOWN_CLASS
295,tepmetko,tepotinib hydrochloride,Kinase Inhibitor
296,carbidopa and levodopa,carbidopa hydrate,Aromatic Amino Acid
297,thioridazine hydrochloride,thioridazine hydrochloride,Phenothiazine
298,calcitriol,calcitriol,Vitamin D3 Analog
299,sodium iodide i 123,sodium iodide i-123,UNKNOWN_CLASS
300,seysara,sarecycline hydrochloride,Tetracycline-class Drug
301,biktarvy,bictegravir sodium,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor
302,ivabradine,ivabradine hydrochloride,Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker
303,darifenacin,darifenacin hydrobromide,Cholinergic Muscarinic Antagonist
304,tiagabine hydrochloride,tiagabine hydrochloride,Anti-epileptic Agent
305,erlotinib,erlotinib hydrochloride,Kinase Inhibitor
306,phytonadione,phytonadione,Vitamin K
307,fesoterodine fumarate,fesoterodine fumarate,UNKNOWN_CLASS
